source_id,window_id,repo,task_id,agent_id,stage,terminal_status,scoreable_cell,verified_pass,policy_valid_cell,policy_pass,policy_outcome_value,failure_category,source_artifact_path,cost_observation_kind
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__002,kilo_gpt_5_4,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__002,kilo_gpt_5_4_mini,selection,acut_harness_error,False,False,True,False,0,exceeded budget or timeout,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__003,codex_gpt_5_4,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__003,kilo_claude_sonnet_4_6,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__003,kilo_gpt_5_4,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__003,kilo_gpt_5_4_mini,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__004,codex_gpt_5_4,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__004,kilo_claude_sonnet_4_6,selection,invalid_output,False,False,True,False,0,no meaningful change,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__004,kilo_gpt_5_4,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__004,kilo_gpt_5_4_mini,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__supply_expansion_20260526__006,codex_gpt_5_4,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
