status,candidate_filter_status,reject_reason,manual_review_reasons,changed_line_count
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,6
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,6
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,75
rejected,rejected,reject_subject_term:release;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,,79
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,8
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,no_behavior_code_file;no_changed_test_file,,8
rejected,rejected,no_behavior_code_file;no_changed_test_file,,8
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,49
rejected,rejected,reject_subject_term:typing;no_behavior_code_file;no_changed_test_file,,49
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,20
rejected,rejected,no_behavior_code_file;no_changed_test_file,,20
rejected,rejected,reject_subject_term:release;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,,4
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,no_behavior_code_file;no_changed_test_file,,77
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,10
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,24
rejected,rejected,no_behavior_code_file;no_changed_test_file,,34
rejected,rejected,no_behavior_code_file;no_changed_test_file,,34
rejected,rejected,no_behavior_code_file;no_changed_test_file,,12
rejected,rejected,no_behavior_code_file;no_changed_test_file,,12
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:mypy;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,17
rejected,rejected,reject_subject_term:mypy;no_behavior_code_file;no_changed_test_file,,17
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,6
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,6
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,16
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,6
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,6
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,16
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,,14
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,4
